[5158:0903/135914.430953:ERROR:dbus/bus.cc:406] Failed to connect to the bus: Could not parse server address: Unknown address type (examples of valid types are "tcp" and on UNIX "unix")
[5158:0903/135915.478888:ERROR:dbus/object_proxy.cc:572] Failed to call method: org.freedesktop.DBus.NameHasOwner: object_path= /org/freedesktop/DBus: unknown error type: 
[5158:0903/135915.481891:ERROR:dbus/bus.cc:406] Failed to connect to the bus: Could not parse server address: Unknown address type (examples of valid types are "tcp" and on UNIX "unix")
[5158:0903/135915.495402:ERROR:dbus/object_proxy.cc:572] Failed to call method: org.freedesktop.DBus.NameHasOwner: object_path= /org/freedesktop/DBus: unknown error type: 

(fleetcomm:5158): dconf-CRITICAL **: 13:59:15.573: unable to create file '/run/user/1001/dconf/user': Permission denied.  dconf will not work properly.

(fleetcomm:5158): dconf-CRITICAL **: 13:59:15.574: unable to create file '/run/user/1001/dconf/user': Permission denied.  dconf will not work properly.

(fleetcomm:5158): dconf-CRITICAL **: 13:59:15.574: unable to create file '/run/user/1001/dconf/user': Permission denied.  dconf will not work properly.
[5158:0903/135915.613849:ERROR:dbus/bus.cc:406] Failed to connect to the bus: Could not parse server address: Unknown address type (examples of valid types are "tcp" and on UNIX "unix")
[5158:0903/135915.637358:ERROR:dbus/bus.cc:406] Failed to connect to the bus: Could not parse server address: Unknown address type (examples of valid types are "tcp" and on UNIX "unix")
hook_thread_proc [101]: Could not set thread priority 49 for thread 0x7F0AE41936C0!
[fleetcomm] global PTT hooks active
[5236:0903/135915.966378:WARNING:media/audio/linux/audio_manager_linux.cc:53] Falling back to ALSA for audio output. PulseAudio is not available or could not be initialized.
[5158:0903/135917.314640:ERROR:dbus/bus.cc:406] Failed to connect to the bus: Could not parse server address: Unknown address type (examples of valid types are "tcp" and on UNIX "unix")
[5158:0903/135917.314699:ERROR:dbus/object_proxy.cc:572] Failed to call method: org.freedesktop.DBus.NameHasOwner: object_path= /org/freedesktop/DBus: unknown error type: 
[5158:0903/135917.314729:ERROR:dbus/bus.cc:406] Failed to connect to the bus: Could not parse server address: Unknown address type (examples of valid types are "tcp" and on UNIX "unix")
[5158:0903/135917.314747:ERROR:dbus/object_proxy.cc:572] Failed to call method: org.freedesktop.DBus.NameHasOwner: object_path= /org/freedesktop/DBus: unknown error type: 
[5188:0903/135920.062525:WARNING:media/gpu/vaapi/vaapi_wrapper.cc:1660] drmGetDevices2() has not found any devices
[5188:0903/135920.066549:WARNING:sandbox/policy/linux/sandbox_linux.cc:405] InitializeSandbox() called with multiple threads in process gpu-process.
[5188:0903/135920.070751:WARNING:ui/gfx/linux/gbm_support_x11.cc:48] dri3 extension not supported.
[5158:0903/135922.911192:INFO:CONSOLE:3227] "[AUTOTEST] connected-tuned-to-nothing=true nets-tuned=0", source: file:///tmp/.mount_FleetClJhPhl/resources/app.asar/renderer/app.js (3227)
[5158:0903/135922.911771:INFO:CONSOLE:3229] "[AUTOTEST] atc-works-untuned=true", source: file:///tmp/.mount_FleetClJhPhl/resources/app.asar/renderer/app.js (3229)
[5158:0903/135924.326686:INFO:CONSOLE:3235] "[AUTOTEST] connected=true tuned=4 selected=COMMAND NET", source: file:///tmp/.mount_FleetClJhPhl/resources/app.asar/renderer/app.js (3235)
[5158:0903/135924.328461:INFO:CONSOLE:3238] "[AUTOTEST] atc-channels=45 chatlen=1", source: file:///tmp/.mount_FleetClJhPhl/resources/app.asar/renderer/app.js (3238)
[5158:0903/135924.331102:ERROR:dbus/bus.cc:406] Failed to connect to the bus: Could not parse server address: Unknown address type (examples of valid types are "tcp" and on UNIX "unix")
[5158:0903/135924.344537:INFO:CONSOLE:3263] "[AUTOTEST] overlay=true", source: file:///tmp/.mount_FleetClJhPhl/resources/app.asar/renderer/app.js (3263)
[5158:0903/135924.352076:INFO:CONSOLE:3258] "[AUTOTEST] cam-signal-selftrip=true", source: file:///tmp/.mount_FleetClJhPhl/resources/app.asar/renderer/app.js (3258)
[5158:0903/135924.391483:ERROR:dbus/bus.cc:406] Failed to connect to the bus: Could not parse server address: Unknown address type (examples of valid types are "tcp" and on UNIX "unix")
[5158:0903/135924.391583:ERROR:dbus/object_proxy.cc:572] Failed to call method: org.freedesktop.DBus.NameHasOwner: object_path= /org/freedesktop/DBus: unknown error type: 
[5158:0903/135924.391626:ERROR:dbus/bus.cc:406] Failed to connect to the bus: Could not parse server address: Unknown address type (examples of valid types are "tcp" and on UNIX "unix")
[5158:0903/135924.391670:ERROR:dbus/object_proxy.cc:572] Failed to call method: org.freedesktop.DBus.NameHasOwner: object_path= /org/freedesktop/DBus: unknown error type: 
[5158:0903/135925.120684:INFO:CONSOLE:3365] "[AUTOTEST] armed-count=1", source: file:///tmp/.mount_FleetClJhPhl/resources/app.asar/renderer/app.js (3365)
[5158:0903/135925.120742:INFO:CONSOLE:3365] "[AUTOTEST] armed-is-selected=true", source: file:///tmp/.mount_FleetClJhPhl/resources/app.asar/renderer/app.js (3365)
[5158:0903/135925.129285:INFO:CONSOLE:3365] "[AUTOTEST] custom-holo=#ff00ff", source: file:///tmp/.mount_FleetClJhPhl/resources/app.asar/renderer/app.js (3365)
[5158:0903/135925.129359:INFO:CONSOLE:3365] "[AUTOTEST] custom-red=#00ff00", source: file:///tmp/.mount_FleetClJhPhl/resources/app.asar/renderer/app.js (3365)
[5158:0903/135925.135536:INFO:CONSOLE:3365] "[AUTOTEST] theme-leak=none", source: file:///tmp/.mount_FleetClJhPhl/resources/app.asar/renderer/app.js (3365)
[5158:0903/135925.135691:INFO:CONSOLE:3365] "[AUTOTEST] ctx-menu=true", source: file:///tmp/.mount_FleetClJhPhl/resources/app.asar/renderer/app.js (3365)
